id_genesynonym;id_ENSEMBL;name_genesynonym
ENSG00000149809_DHCR14A;ENSG00000149809;DHCR14A
ENSG00000149809_NET47;ENSG00000149809;NET47
ENSG00000160218_EHOC-1;ENSG00000160218;EHOC-1
ENSG00000160218_EHOC1;ENSG00000160218;EHOC1
ENSG00000160218_GT334;ENSG00000160218;GT334
ENSG00000160218_TMEM1;ENSG00000160218;TMEM1
ENSG00000160218_TRS130;ENSG00000160218;TRS130
ENSG00000160218_TRS30;ENSG00000160218;TRS30
ENSG00000144747_ARA160;ENSG00000144747;ARA160
ENSG00000144747_TMF;ENSG00000144747;TMF
ENSG00000136842_D9S57E;ENSG00000136842;D9S57E
ENSG00000136842_ETMOD;ENSG00000136842;ETMOD
ENSG00000136842_TMOD;ENSG00000136842;TMOD
ENSG00000120802_CMD1T;ENSG00000120802;CMD1T
ENSG00000120802_LAP2;ENSG00000120802;LAP2
ENSG00000120802_LEMD4;ENSG00000120802;LEMD4
ENSG00000120802_PRO0868;ENSG00000120802;PRO0868
ENSG00000120802_TP;ENSG00000120802;TP
ENSG00000184012_PP9284;ENSG00000184012;PP9284
ENSG00000184012_PRSS10;ENSG00000184012;PRSS10
ENSG00000205542_FX;ENSG00000205542;FX
ENSG00000205542_PTMB4;ENSG00000205542;PTMB4
ENSG00000205542_TB4X;ENSG00000205542;TB4X
ENSG00000205542_TMSB4;ENSG00000205542;TMSB4
ENSG00000184113_AWAL;ENSG00000184113;AWAL
ENSG00000184113_BEC1;ENSG00000184113;BEC1
ENSG00000184113_CPETRL1;ENSG00000184113;CPETRL1
ENSG00000184113_TMVCF;ENSG00000184113;TMVCF
ENSG00000163815_TN;ENSG00000163815;TN
ENSG00000163815_TNA;ENSG00000163815;TNA
ENSG00000232810_DIF;ENSG00000232810;DIF
ENSG00000232810_TNF-alpha;ENSG00000232810;TNF-alpha
ENSG00000232810_TNFA;ENSG00000232810;TNFA
ENSG00000232810_TNFSF2;ENSG00000232810;TNFSF2
ENSG00000232810_TNLG1F;ENSG00000232810;TNLG1F
ENSG00000109079_B12;ENSG00000109079;B12
ENSG00000109079_B61;ENSG00000109079;B61
ENSG00000109079_BTBD34;ENSG00000109079;BTBD34
ENSG00000109079_EDP1;ENSG00000109079;EDP1
ENSG00000109079_hBACURD2;ENSG00000109079;hBACURD2
